CMN,anziani,fam,istr_sup,maschi,minori,occ,pop,stran
1001,526,1204,198,1207,374,1128,2545,259
1002,577,1515,182,1846,607,1557,3633,273
1003,97,239,27,237,59,203,459,3
1004,336,749,94,802,227,708,1638,111
1006,1174,2921,657,3129,963,2844,6355,293
1007,50,144,14,122,16,100,235,11
1008,3338,7571,1285,8173,2239,7017,16484,882
1009,366,864,163,1003,351,914,2013,166
1010,99,256,33,265,67,204,488,36
1011,157,414,65,433,123,376,838,23
1012,177,449,87,571,157,534,1080,43
1013,2291,5534,1250,6036,1945,5319,12351,658
1014,226,555,77,605,190,587,1235,74
1015,183,350,48,372,95,333,787,25
1016,659,1411,190,1488,464,1289,3064,109
1017,109,270,39,260,72,215,533,25
1018,679,1589,617,1825,565,1608,3671,126
1019,24,71,3,60,16,51,110,1
1020,704,1598,294,1450,431,1308,3112,401
1021,324,748,92,783,220,650,1585,99
1022,574,1725,364,1528,436,1402,3078,338
1023,139,268,45,279,65,237,559,21
1024,3843,8097,1037,8452,2626,7278,17532,1080
1025,614,1496,172,1703,584,1462,3392,347
1026,118,285,28,256,81,211,537,19
1027,463,971,171,1062,293,944,2097,128
1028,2095,5023,660,5726,1949,5194,11773,467
1029,105,283,31,300,94,239,592,77
1030,760,1676,230,1715,531,1445,3590,257
1031,195,378,51,368,110,304,772,64
1032,477,1029,114,1095,326,839,2187,116
1033,578,1288,143,1535,498,1271,3074,192
1034,1363,3727,472,4333,1556,3811,8798,457
1035,865,2054,281,2260,717,2073,4564,172
1036,89,220,20,192,52,174,402,7
1037,73,214,42,234,57,203,449,24
1038,1539,3556,601,4174,1420,3712,8475,322
1039,317,668,67,745,216,574,1482,76
1040,303,690,86,744,218,615,1487,58
1041,269,518,82,655,217,624,1329,53
1042,285,533,123,543,129,450,1134,61
1043,250,664,65,834,296,716,1622,99
1044,1278,2805,439,2741,724,2202,5703,387
1045,1246,2784,574,3096,999,2693,6292,305
1046,652,1533,219,1659,502,1446,3334,215
1047,1569,3480,520,3557,1060,3097,7344,639
1048,1162,2496,474,2843,884,2579,5915,210
1049,252,591,67,662,203,626,1333,72
1050,259,537,84,589,176,502,1219,98
1051,940,2354,416,2787,956,2495,5627,229
1052,60,142,4,143,36,103,277,8
1053,461,1121,248,1265,398,1113,2574,79
1054,116,327,36,313,88,250,588,19
1055,402,948,148,1036,319,883,2057,52
1056,205,424,42,445,133,379,901,38
1057,164,382,33,350,109,292,739,45
1058,1757,4024,627,4427,1470,3891,9051,813
1059,4864,12287,1699,13900,4898,12107,28399,2627
1060,382,849,195,924,266,780,1862,108
1061,318,693,173,768,209,606,1532,145
1062,575,1279,213,1481,523,1305,3005,148
1063,2130,6071,852,6783,2360,6195,13749,857
1064,276,766,248,900,274,801,1755,108
1065,353,904,106,1087,354,983,2165,175
1066,1777,4422,670,4758,1495,4111,9667,1046
1067,101,241,21,222,44,174,416,25
1068,1063,2699,770,3186,1119,2988,6446,257
1069,430,1030,131,1104,336,947,2237,125
1070,1040,2394,289,2661,817,2469,5385,395
1071,334,763,96,869,271,795,1761,75
1072,230,572,69,536,102,391,1032,111
1073,38,99,11,88,15,78,167,9
1074,167,507,84,501,112,442,913,77
1075,95,205,19,169,53,141,353,25
1076,354,738,107,773,198,622,1569,86
1077,497,907,229,981,282,809,2021,104
1078,6883,16401,3550,17295,5639,15427,36001,3344
1079,45,106,13,117,39,88,233,53
1080,239,484,51,416,96,330,860,41
1081,266,735,81,791,244,663,1565,144
1082,4772,12130,2152,12764,4166,11480,26497,2028
1083,81,152,23,182,46,174,360,5
1084,42,113,27,121,39,98,242,23
1085,60,162,33,164,30,140,321,15
1086,3654,8304,1460,8755,2618,7760,18261,1160
1087,26,93,15,103,30,85,202,35
1088,273,705,104,729,216,639,1449,60
1089,541,1559,189,1606,441,1346,3171,248
1090,9820,22609,4143,23375,7340,21167,48747,2656
1091,67,150,16,155,47,119,312,75
1092,119,269,47,300,78,240,591,44
1093,931,2186,330,2165,593,1831,4427,155
1094,670,1505,157,1509,385,1311,3082,161
1095,120,216,25,221,51,169,443,23
1096,171,443,65,467,127,436,937,82
1097,1510,3601,626,3891,1220,3410,7787,380
1098,1882,4507,544,4593,1385,3855,9413,1055
1099,1532,3834,580,4304,1466,3844,8822,560
1100,42,144,14,126,22,110,244,15
1101,840,2111,308,2542,925,2211,5122,444
1102,399,972,104,1075,336,872,2178,249
1103,121,307,40,247,44,202,483,15
1104,536,1161,241,1311,427,1106,2640,128
1105,192,368,56,375,91,299,751,28
1106,386,1006,142,1093,396,983,2255,148
1107,692,1465,163,1642,487,1272,3271,347
1108,55,142,4,159,28,120,274,0
1109,324,709,97,820,233,703,1627,97
1110,575,1254,218,1399,417,1176,2841,144
1111,108,248,19,273,84,250,544,18
1112,1832,4233,742,4502,1432,3980,9389,687
1113,238,550,53,564,136,442,1117,99
1114,145,290,45,282,68,255,594,9
1115,3285,7361,1183,7875,2366,6558,16168,1187
1116,570,1611,313,2011,772,1793,4003,125
1117,147,342,39,341,67,272,665,41
1118,60,118,13,99,22,85,194,1
1119,179,428,75,467,143,437,973,42
1120,7958,16772,2554,17888,5431,15234,37201,1617
1121,14,27,4,26,4,14,45,1
1122,155,342,17,351,92,283,689,27
1123,61,160,24,184,59,182,371,7
1124,78,202,22,204,56,181,409,23
1125,5318,11392,3030,10850,3101,9450,22839,2013
1126,284,759,122,890,305,788,1766,49
1127,1373,3721,518,4350,1616,4018,8783,279
1128,982,2413,391,2370,698,2033,4878,338
1129,265,683,96,697,204,591,1422,90
1130,2632,6850,877,8091,2967,7244,16309,1106
1131,50,101,5,102,23,65,185,32
1132,418,837,103,869,242,760,1795,78
1133,89,225,20,212,57,197,429,36
1134,370,750,56,669,126,554,1382,48
1135,300,723,99,849,269,737,1669,68
1136,199,462,52,560,151,473,1066,95
1137,206,506,92,563,195,498,1149,46
1139,1611,3451,453,3414,970,2786,7096,800
1140,87,244,19,252,74,218,492,10
1141,91,235,27,265,83,240,547,26
1142,210,507,50,579,180,508,1151,54
1143,91,190,38,204,46,174,413,15
1144,270,557,133,661,204,529,1306,28
1145,16,41,2,29,3,18,56,0
1146,774,1725,213,1885,559,1581,3795,248
1147,156,348,35,321,74,272,647,26
1148,783,1848,291,2029,628,1770,4169,257
1149,157,429,46,410,97,318,809,35
1150,228,595,74,671,182,554,1283,253
1152,194,418,44,386,87,284,760,30
1153,60,165,29,194,49,176,383,33
1154,131,307,37,305,86,247,639,12
1155,61,187,13,176,29,140,331,4
1156,11358,26442,5990,27264,8668,23765,56319,5243
1157,3,22,4,20,2,16,41,0
1158,132,312,63,352,99,314,723,26
1159,174,426,69,465,143,427,985,95
1160,729,1571,280,1662,455,1415,3349,270
1161,1058,2246,271,2517,804,2048,5119,208
1162,157,362,43,421,139,337,842,97
1163,170,353,51,431,127,358,852,47
1164,9156,20445,2329,22443,7440,19204,46512,2867
1165,37,81,2,55,5,39,107,2
1166,1203,2927,452,3317,1102,2950,6770,339
1167,66,148,16,146,43,107,291,13
1168,1391,3390,373,3882,1294,3396,7849,396
1169,110,242,17,266,66,228,526,13
1170,237,616,85,715,269,652,1453,76
1171,4446,10390,1406,11164,3659,9735,23061,1129
1172,195,369,46,384,92,326,764,39
1173,196,496,89,579,190,540,1173,30
1174,150,390,52,489,153,434,929,34
1175,534,1728,304,1666,459,1466,3264,333
1176,232,564,48,585,170,523,1187,45
1177,176,379,64,407,126,346,842,48
1178,414,830,107,971,310,834,2005,290
1179,96,206,43,196,48,172,419,15
1180,179,477,142,553,196,512,1124,56
1181,869,1719,303,1787,514,1553,3680,177
1183,846,1696,791,1944,656,1769,3992,249
1184,785,1600,132,1491,387,1182,3133,229
1185,94,242,36,257,74,240,521,15
1186,169,339,22,324,68,217,600,30
1187,124,324,40,369,116,320,747,26
1188,129,334,46,326,84,242,629,53
1189,2561,6426,1281,7556,2856,6802,15446,539
1190,657,1371,152,1354,362,1186,2843,112
1191,7314,17389,3520,16861,5238,14671,35480,3121
1192,1873,3751,1961,3972,1257,3498,8281,473
1193,635,1593,257,1848,668,1696,3823,130
1194,3391,7829,1244,8855,3114,7728,18102,833
1195,603,1456,168,1614,542,1484,3335,154
1196,280,601,140,651,187,594,1333,46
1197,1739,4319,603,5087,1693,4583,10202,717
1198,249,504,53,467,122,375,970,52
1199,673,1555,177,1510,414,1241,3116,318
1200,204,488,72,548,179,419,1076,103
1201,98,409,53,411,148,312,762,208
1202,61,135,10,135,25,107,252,5
1203,353,790,117,923,312,827,1891,164
1204,54,121,7,121,22,86,223,7
1205,258,554,107,626,186,528,1250,18
1206,152,341,24,373,104,312,738,17
1207,90,240,14,228,50,173,460,38
1208,64,158,35,168,32,153,327,37
1209,68,171,15,163,43,146,338,20
1210,231,478,55,489,133,439,997,37
1211,312,801,166,862,292,746,1763,70
1212,25,42,1,26,1,14,48,0
1213,218,480,106,561,186,498,1124,56
1214,3569,8549,1531,9930,3374,8831,20127,1166
1215,733,1924,331,2352,942,2211,4734,195
1216,461,1117,111,1254,409,1050,2527,185
1217,2376,5606,931,5920,1850,5303,12302,889
1218,229,668,132,772,235,705,1542,92
1219,10497,21858,4438,22902,6641,19724,47807,2220
