CMN,dominio,anno,valore
1001,F,2018,1200
1001,F,2019,1204
1001,PF,2018,2557
1001,PF,2019,2557
1002,F,2018,1508
1002,F,2019,1515
1002,PF,2018,3609
1002,PF,2019,3593
1003,F,2018,240
1003,F,2019,239
1003,PF,2018,442
1003,PF,2019,441
1004,F,2018,743
1004,F,2019,749
1004,PF,2018,1620
1004,PF,2019,1623
1317,F,2018,655
1317,PF,2018,1271
1006,F,2018,2913
1006,F,2019,2921
1006,PF,2018,6388
1006,PF,2019,6403
1007,F,2018,144
1007,F,2019,144
1007,PF,2018,246
1007,PF,2019,248
1008,F,2018,7543
1008,F,2019,7571
1008,PF,2018,16634
1008,PF,2019,16593
1009,F,2018,845
1009,F,2019,864
1009,PF,2018,1992
1009,PF,2019,2024
1010,F,2018,262
1010,F,2019,256
1010,PF,2018,497
1010,PF,2019,492
1011,F,2018,415
1011,F,2019,414
1011,PF,2018,858
1011,PF,2019,844
1012,F,2018,443
1012,F,2019,449
1012,PF,2018,1075
1012,PF,2019,1081
1013,F,2018,5505
1013,F,2019,5534
1013,PF,2018,12527
1013,PF,2019,12546
1014,F,2018,560
1014,F,2019,555
1014,PF,2018,1246
1014,PF,2019,1238
1015,F,2018,346
1015,F,2019,350
1015,PF,2018,752
1015,PF,2019,760
1016,F,2018,1408
1016,F,2019,1411
1016,PF,2018,3154
1016,PF,2019,3138
1017,F,2018,282
1017,F,2019,270
1017,PF,2018,543
1017,PF,2019,527
1018,F,2018,1587
1018,F,2019,1589
1018,PF,2018,3624
1018,PF,2019,3601
1019,F,2018,70
1019,F,2019,71
1019,PF,2018,113
1019,PF,2019,114
1020,F,2018,1591
1020,F,2019,1598
1020,PF,2018,3175
1020,PF,2019,3161
1021,F,2018,748
1021,F,2019,748
1021,PF,2018,1566
1021,PF,2019,1567
1022,F,2018,1724
1022,F,2019,1725
1022,PF,2018,3106
1022,PF,2019,3112
1023,F,2018,267
1023,F,2019,268
1023,PF,2018,588
1023,PF,2019,578
1024,F,2018,8085
1024,F,2019,8097
1024,PF,2018,17782
1024,PF,2019,17662
1025,F,2018,1491
1025,F,2019,1496
1025,PF,2018,3417
1025,PF,2019,3426
1026,F,2018,276
1026,F,2019,285
1026,PF,2018,536
1026,PF,2019,545
1027,F,2018,967
1027,F,2019,971
1027,PF,2018,2163
