CMN,sesso,cittadinanza,anno,valore
1001,F,I,2018,1251
1001,F,I,2019,1245
1001,F,I,2020,1191
1001,F,S,2018,140
1001,F,S,2019,147
1001,F,S,2020,147
1001,F,T,2018,1391
1001,F,T,2019,1392
1001,F,T,2020,1338
1001,M,I,2018,1123
1001,M,I,2019,1107
1001,M,I,2020,1095
1001,M,S,2018,120
1001,M,S,2019,122
1001,M,S,2020,112
1001,M,T,2018,1243
1001,M,T,2019,1229
1001,M,T,2020,1207
1001,T,I,2018,2374
1001,T,I,2019,2352
1001,T,I,2020,2286
1001,T,S,2018,260
1001,T,S,2019,269
1001,T,S,2020,259
1001,T,T,2018,2634
1001,T,T,2019,2621
1001,T,T,2020,2545
1002,F,I,2018,1639
1002,F,I,2019,1631
1002,F,I,2020,1653
1002,F,S,2018,138
1002,F,S,2019,147
1002,F,S,2020,134
1002,F,T,2018,1777
1002,F,T,2019,1778
1002,F,T,2020,1787
1002,M,I,2018,1706
1002,M,I,2019,1689
1002,M,I,2020,1707
1002,M,S,2018,130
1002,M,S,2019,131
1002,M,S,2020,139
1002,M,T,2018,1836
1002,M,T,2019,1820
1002,M,T,2020,1846
1002,T,I,2018,3345
1002,T,I,2019,3320
1002,T,I,2020,3360
1002,T,S,2018,268
1002,T,S,2019,278
1002,T,S,2020,273
1002,T,T,2018,3613
1002,T,T,2019,3598
1002,T,T,2020,3633
1003,F,I,2018,210
1003,F,I,2019,210
1003,F,I,2020,220
1003,F,S,2018,1
1003,F,S,2019,1
1003,F,S,2020,2
1003,F,T,2018,211
1003,F,T,2019,211
1003,F,T,2020,222
1003,M,I,2018,230
1003,M,I,2019,229
1003,M,I,2020,236
1003,M,S,2018,1
1003,M,S,2019,1
1003,M,S,2020,1
1003,M,T,2018,231
1003,M,T,2019,230
1003,M,T,2020,237
1003,T,I,2018,440
1003,T,I,2019,439
1003,T,I,2020,456
1003,T,S,2018,2
1003,T,S,2019,2
1003,T,S,2020,3
1003,T,T,2018,442
1003,T,T,2019,441
1003,T,T,2020,459
1004,F,I,2018,777
1004,F,I,2019,777
1004,F,I,2020,786
1004,F,S,2018,57
1004,F,S,2019,51
1004,F,S,2020,50
1004,F,T,2018,834
1004,F,T,2019,828
1004,F,T,2020,836
1004,M,I,2018,749
1004,M,I,2019,753
1004,M,I,2020,741
1004,M,S,2018,59
1004,M,S,2019,63
1004,M,S,2020,61
1004,M,T,2018,808
1004,M,T,2019,816
1004,M,T,2020,802
1004,T,I,2018,1526
1004,T,I,2019,1530
1004,T,I,2020,1527
1004,T,S,2018,116
1004,T,S,2019,114
1004,T,S,2020,111
1004,T,T,2018,1642
1004,T,T,2019,1644
1004,T,T,2020,1638
1317,F,I,2018,613
1317,F,S,2018,30
1317,F,T,2018,643
1317,M,I,2018,611
1317,M,S,2018,34
1317,M,T,2018,645
1317,T,I,2018,1224
1317,T,S,2018,64
1317,T,T,2018,1288
1006,F,I,2018,3090
1006,F,I,2019,3091
1006,F,I,2020,3062
1006,F,S,2018,182
1006,F,S,2019,183
1006,F,S,2020,164
1006,F,T,2018,3272
1006,F,T,2019,3274
1006,F,T,2020,3226
1006,M,I,2018,3008
1006,M,I,2019,3016
1006,M,I,2020,3000
1006,M,S,2018,126
1006,M,S,2019,136
1006,M,S,2020,129
1006,M,T,2018,3134
1006,M,T,2019,3152
1006,M,T,2020,3129
1006,T,I,2018,6098
1006,T,I,2019,6107
1006,T,I,2020,6062
1006,T,S,2018,308
1006,T,S,2019,319
1006,T,S,2020,293
1006,T,T,2018,6406
1006,T,T,2019,6426
1006,T,T,2020,6355
1007,F,I,2018,111
1007,F,I,2019,111
1007,F,I,2020,107
1007,F,S,2018,6
1007,F,S,2019,6
1007,F,S,2020,6
1007,F,T,2018,117
1007,F,T,2019,117
1007,F,T,2020,113
1007,M,I,2018,124
1007,M,I,2019,126
1007,M,I,2020,117
1007,M,S,2018,5
1007,M,S,2019,5
1007,M,S,2020,5
1007,M,T,2018,129
1007,M,T,2019,131
1007,M,T,2020,122
1007,T,I,2018,235
1007,T,I,2019,237
1007,T,I,2020,224
1007,T,S,2018,11
1007,T,S,2019,11
1007,T,S,2020,11
1007,T,T,2018,246
1007,T,T,2019,248
1007,T,T,2020,235
1008,F,I,2018,8182
1008,F,I,2019,8173
1008,F,I,2020,7954
1008,F,S,2018,385
1008,F,S,2019,381
1008,F,S,2020,357
1008,F,T,2018,8567
1008,F,T,2019,8554
1008,F,T,2020,8311
1008,M,I,2018,7883
1008,M,I,2019,7857
1008,M,I,2020,7648
1008,M,S,2018,541
1008,M,S,2019,534
1008,M,S,2020,525
1008,M,T,2018,8424
1008,M,T,2019,8391
1008,M,T,2020,8173
1008,T,I,2018,16065
1008,T,I,2019,16030
1008,T,I,2020,15602
1008,T,S,2018,926
1008,T,S,2019,915
1008,T,S,2020,882
1008,T,T,2018,16991
1008,T,T,2019,16945
1008,T,T,2020,16484
1009,F,I,2018,918
1009,F,I,2019,925
1009,F,I,2020,917
1009,F,S,2018,88
1009,F,S,2019,95
1009,F,S,2020,93
1009,F,T,2018,1006
1009,F,T,2019,1020
1009,F,T,2020,1010
1009,M,I,2018,920
1009,M,I,2019,943
1009,M,I,2020,930
1009,M,S,2018,78
1009,M,S,2019,78
1009,M,S,2020,73
1009,M,T,2018,998
1009,M,T,2019,1021
1009,M,T,2020,1003
1009,T,I,2018,1838
1009,T,I,2019,1868
1009,T,I,2020,1847
1009,T,S,2018,166
1009,T,S,2019,173
1009,T,S,2020,166
1009,T,T,2018,2004
1009,T,T,2019,2041
1009,T,T,2020,2013
1010,F,I,2018,212
1010,F,I,2019,208
1010,F,I,2020,204
1010,F,S,2018,20
1010,F,S,2019,20
1010,F,S,2020,19
1010,F,T,2018,232
1010,F,T,2019,228
1010,F,T,2020,223
1010,M,I,2018,249
1010,M,I,2019,246
1010,M,I,2020,248
1010,M,S,2018,16
1010,M,S,2019,18
1010,M,S,2020,17
1010,M,T,2018,265
1010,M,T,2019,264
1010,M,T,2020,265
1010,T,I,2018,461
1010,T,I,2019,454
1010,T,I,2020,452
1010,T,S,2018,36
1010,T,S,2019,38
1010,T,S,2020,36
1010,T,T,2018,497
1010,T,T,2019,492
1010,T,T,2020,488
1011,F,I,2018,411
1011,F,I,2019,394
1011,F,I,2020,389
1011,F,S,2018,13
1011,F,S,2019,12
1011,F,S,2020,16
1011,F,T,2018,424
1011,F,T,2019,406
1011,F,T,2020,405
1011,M,I,2018,433
1011,M,I,2019,436
1011,M,I,2020,426
1011,M,S,2018,5
1011,M,S,2019,4
1011,M,S,2020,7
1011,M,T,2018,438
1011,M,T,2019,440
1011,M,T,2020,433
1011,T,I,2018,844
1011,T,I,2019,830
1011,T,I,2020,815
1011,T,S,2018,18
1011,T,S,2019,16
1011,T,S,2020,23
1011,T,T,2018,862
1011,T,T,2019,846
1011,T,T,2020,838
1012,F,I,2018,490
1012,F,I,2019,489
1012,F,I,2020,490
1012,F,S,2018,18
1012,F,S,2019,18
1012,F,S,2020,19
1012,F,T,2018,508
1012,F,T,2019,507
1012,F,T,2020,509
1012,M,I,2018,537
1012,M,I,2019,548
1012,M,I,2020,547
1012,M,S,2018,30
1012,M,S,2019,26
1012,M,S,2020,24
1012,M,T,2018,567
1012,M,T,2019,574
1012,M,T,2020,571
1012,T,I,2018,1027
1012,T,I,2019,1037
1012,T,I,2020,1037
1012,T,S,2018,48
1012,T,S,2019,44
1012,T,S,2020,43
1012,T,T,2018,1075
1012,T,T,2019,1081
1012,T,T,2020,1080
1013,F,I,2018,6058
1013,F,I,2019,6036
1013,F,I,2020,5955
1013,F,S,2018,388
1013,F,S,2019,418
1013,F,S,2020,360
1013,F,T,2018,6446
1013,F,T,2019,6454
1013,F,T,2020,6315
1013,M,I,2018,5842
1013,M,I,2019,5839
1013,M,I,2020,5738
1013,M,S,2018,290
1013,M,S,2019,318
1013,M,S,2020,298
1013,M,T,2018,6132
1013,M,T,2019,6157
1013,M,T,2020,6036
1013,T,I,2018,11900
1013,T,I,2019,11875
1013,T,I,2020,11693
1013,T,S,2018,678
1013,T,S,2019,736
1013,T,S,2020,658
1013,T,T,2018,12578
1013,T,T,2019,12611
1013,T,T,2020,12351
1014,F,I,2018,600
1014,F,I,2019,597
1014,F,I,2020,592
1014,F,S,2018,39
